"citizen","time","value"
"Bangladesh",2013-04-01,690
"Bangladesh",2013-05-01,725
"Bangladesh",2013-06-01,830
"Bangladesh",2013-07-01,730
"Bangladesh",2013-08-01,575
"Bangladesh",2013-09-01,685
"Bangladesh",2013-10-01,750
"Bangladesh",2013-11-01,555
"Bangladesh",2013-12-01,555
"Bangladesh",2014-01-01,510
"Bangladesh",2014-02-01,515
"Bangladesh",2014-03-01,600
"Bangladesh",2014-04-01,545
"Bangladesh",2014-05-01,575
"Bangladesh",2014-06-01,440
"Bangladesh",2014-07-01,685
"Bangladesh",2014-08-01,795
"Bangladesh",2014-09-01,1430
"Bangladesh",2014-10-01,1780
"Bangladesh",2014-11-01,1170
"Bangladesh",2014-12-01,1160
"Bangladesh",2015-01-01,870
"Bangladesh",2015-02-01,740
"Bangladesh",2015-03-01,830
"Bangladesh",2015-04-01,745
"Bangladesh",2015-05-01,935
"Bangladesh",2015-06-01,1140
"Bangladesh",2015-07-01,1935
"Bangladesh",2015-08-01,3565
"Bangladesh",2015-09-01,2215
"Eritrea",2008-01-01,740
"Eritrea",2008-02-01,540
"Eritrea",2008-03-01,490
"Eritrea",2008-04-01,510
"Eritrea",2008-05-01,590
"Eritrea",2008-06-01,650
"Eritrea",2008-07-01,990
"Eritrea",2008-08-01,1550
"Eritrea",2008-09-01,1435
"Eritrea",2008-10-01,1485
"Eritrea",2008-11-01,1390
"Eritrea",2008-12-01,1120
"Eritrea",2009-01-01,1075
"Eritrea",2009-02-01,595
"Eritrea",2009-03-01,585
"Eritrea",2009-04-01,595
"Eritrea",2009-05-01,575
"Eritrea",2009-06-01,565
"Eritrea",2009-07-01,920
"Eritrea",2009-08-01,765
"Eritrea",2009-09-01,860
"Eritrea",2009-10-01,895
"Eritrea",2009-11-01,1010
"Eritrea",2009-12-01,780
"Eritrea",2010-01-01,500
"Eritrea",2010-02-01,495
"Eritrea",2010-03-01,575
"Eritrea",2010-04-01,505
"Eritrea",2010-05-01,540
"Eritrea",2010-06-01,585
"Eritrea",2010-07-01,745
"Eritrea",2010-08-01,825
"Eritrea",2010-09-01,750
"Eritrea",2010-10-01,705
"Eritrea",2010-11-01,705
"Eritrea",2010-12-01,730
"Eritrea",2011-01-01,660
"Eritrea",2011-02-01,695
"Eritrea",2011-03-01,715
"Eritrea",2011-04-01,1240
"Eritrea",2011-05-01,1365
"Eritrea",2011-06-01,770
"Eritrea",2011-07-01,650
"Eritrea",2011-08-01,860
"Eritrea",2011-09-01,855
"Eritrea",2011-10-01,770
"Eritrea",2011-11-01,720
"Eritrea",2011-12-01,710
