"citizen","geo","time","values","iso2"
"Antigua and Barbuda","Latvia",2015-11-01,NA,"LV"
"Antigua and Barbuda","Malta",2015-11-01,NA,"MT"
"Antigua and Barbuda","Netherlands",2015-11-01,NA,"NL"
"Antigua and Barbuda","Norway",2015-11-01,0,"NO"
"Antigua and Barbuda","Poland",2015-11-01,NA,"PL"
"Antigua and Barbuda","Portugal",2015-11-01,NA,"PT"
"Antigua and Barbuda","Romania",2015-11-01,NA,"RO"
"Antigua and Barbuda","Sweden",2015-11-01,NA,"SE"
"Antigua and Barbuda","Slovenia",2015-11-01,NA,"SI"
"Antigua and Barbuda","Slovakia",2015-11-01,NA,"SK"
"Antigua and Barbuda","Total",2015-11-01,0,"TOTAL"
"Antigua and Barbuda","United Kingdom",2015-11-01,NA,"UK"
"Albania","Austria",2015-11-01,NA,"AT"
"Albania","Belgium",2015-11-01,NA,"BE"
"Albania","Bulgaria",2015-11-01,NA,"BG"
"Albania","Switzerland",2015-11-01,NA,"CH"
"Albania","Cyprus",2015-11-01,NA,"CY"
"Albania","Czech Republic",2015-11-01,NA,"CZ"
"Albania","Germany (until 1990 former territory of the FRG)",2015-11-01,NA,"DE"
"Albania","Denmark",2015-11-01,NA,"DK"
"Albania","Estonia",2015-11-01,NA,"EE"
"Albania","Greece",2015-11-01,NA,"EL"
"Albania","Spain",2015-11-01,NA,"ES"
"Albania","European Union (28 countries)",2015-11-01,30,"EU28"
"Albania","Finland",2015-11-01,30,"FI"
"Albania","France",2015-11-01,NA,"FR"
"Albania","Croatia",2015-11-01,NA,"HR"
"Albania","Hungary",2015-11-01,NA,"HU"
"Albania","Ireland",2015-11-01,NA,"IE"
"Albania","Italy",2015-11-01,NA,"IT"
"Albania","Lithuania",2015-11-01,NA,"LT"
"Albania","Luxembourg",2015-11-01,NA,"LU"
"Albania","Latvia",2015-11-01,NA,"LV"
"Albania","Malta",2015-11-01,NA,"MT"
"Albania","Netherlands",2015-11-01,NA,"NL"
"Albania","Norway",2015-11-01,25,"NO"
"Albania","Poland",2015-11-01,NA,"PL"
"Albania","Portugal",2015-11-01,NA,"PT"
"Albania","Romania",2015-11-01,NA,"RO"
"Albania","Sweden",2015-11-01,NA,"SE"
"Albania","Slovenia",2015-11-01,NA,"SI"
"Albania","Slovakia",2015-11-01,NA,"SK"
"Albania","Total",2015-11-01,50,"TOTAL"
"Albania","United Kingdom",2015-11-01,NA,"UK"
"Armenia","Austria",2015-11-01,NA,"AT"
"Armenia","Belgium",2015-11-01,NA,"BE"
"Armenia","Bulgaria",2015-11-01,NA,"BG"
"Armenia","Switzerland",2015-11-01,NA,"CH"
"Armenia","Cyprus",2015-11-01,NA,"CY"
"Armenia","Czech Republic",2015-11-01,NA,"CZ"
"Armenia","Germany (until 1990 former territory of the FRG)",2015-11-01,NA,"DE"
"Armenia","Denmark",2015-11-01,NA,"DK"
"Armenia","Estonia",2015-11-01,NA,"EE"
"Armenia","Greece",2015-11-01,NA,"EL"
"Armenia","Spain",2015-11-01,NA,"ES"
"Armenia","European Union (28 countries)",2015-11-01,0,"EU28"
"Armenia","Finland",2015-11-01,0,"FI"
"Armenia","France",2015-11-01,NA,"FR"
"Armenia","Croatia",2015-11-01,NA,"HR"
"Armenia","Hungary",2015-11-01,NA,"HU"
"Armenia","Ireland",2015-11-01,NA,"IE"
"Armenia","Italy",2015-11-01,NA,"IT"
"Armenia","Lithuania",2015-11-01,NA,"LT"
"Armenia","Luxembourg",2015-11-01,NA,"LU"
"Armenia","Latvia",2015-11-01,NA,"LV"
"Armenia","Malta",2015-11-01,NA,"MT"
"Armenia","Netherlands",2015-11-01,NA,"NL"
"Armenia","Norway",2015-11-01,5,"NO"
"Armenia","Poland",2015-11-01,NA,"PL"
"Armenia","Portugal",2015-11-01,NA,"PT"
"Armenia","Romania",2015-11-01,NA,"RO"
"Armenia","Sweden",2015-11-01,NA,"SE"
"Armenia","Slovenia",2015-11-01,NA,"SI"
"Armenia","Slovakia",2015-11-01,NA,"SK"
"Armenia","Total",2015-11-01,5,"TOTAL"
"Armenia","United Kingdom",2015-11-01,NA,"UK"
"Angola","Austria",2015-11-01,NA,"AT"
"Angola","Belgium",2015-11-01,NA,"BE"
"Angola","Bulgaria",2015-11-01,NA,"BG"
"Angola","Switzerland",2015-11-01,NA,"CH"
"Angola","Cyprus",2015-11-01,NA,"CY"
"Angola","Czech Republic",2015-11-01,NA,"CZ"
"Angola","Germany (until 1990 former territory of the FRG)",2015-11-01,NA,"DE"
"Angola","Denmark",2015-11-01,NA,"DK"
"Angola","Estonia",2015-11-01,NA,"EE"
"Angola","Greece",2015-11-01,NA,"EL"
"Angola","Spain",2015-11-01,NA,"ES"
"Angola","European Union (28 countries)",2015-11-01,0,"EU28"
"Angola","Finland",2015-11-01,0,"FI"
"Angola","France",2015-11-01,NA,"FR"
"Angola","Croatia",2015-11-01,NA,"HR"
"Angola","Hungary",2015-11-01,NA,"HU"
"Angola","Ireland",2015-11-01,NA,"IE"
"Angola","Italy",2015-11-01,NA,"IT"
"Angola","Lithuania",2015-11-01,NA,"LT"
"Angola","Luxembourg",2015-11-01,NA,"LU"
"Angola","Latvia",2015-11-01,NA,"LV"
"Angola","Malta",2015-11-01,NA,"MT"
"Angola","Netherlands",2015-11-01,NA,"NL"
"Angola","Norway",2015-11-01,0,"NO"
"Angola","Poland",2015-11-01,NA,"PL"
"Angola","Portugal",2015-11-01,NA,"PT"
"Angola","Romania",2015-11-01,NA,"RO"
"Angola","Sweden",2015-11-01,NA,"SE"
"Angola","Slovenia",2015-11-01,NA,"SI"
"Angola","Slovakia",2015-11-01,NA,"SK"
"Angola","Total",2015-11-01,0,"TOTAL"
"Angola","United Kingdom",2015-11-01,NA,"UK"
"Argentina","Austria",2015-11-01,NA,"AT"
"Argentina","Belgium",2015-11-01,NA,"BE"
"Argentina","Bulgaria",2015-11-01,NA,"BG"
"Argentina","Switzerland",2015-11-01,NA,"CH"
"Argentina","Cyprus",2015-11-01,NA,"CY"
"Argentina","Czech Republic",2015-11-01,NA,"CZ"
"Argentina","Germany (until 1990 former territory of the FRG)",2015-11-01,NA,"DE"
"Argentina","Denmark",2015-11-01,NA,"DK"
"Argentina","Estonia",2015-11-01,NA,"EE"
"Argentina","Greece",2015-11-01,NA,"EL"
"Argentina","Spain",2015-11-01,NA,"ES"
"Argentina","European Union (28 countries)",2015-11-01,0,"EU28"
"Argentina","Finland",2015-11-01,0,"FI"
"Argentina","France",2015-11-01,NA,"FR"
"Argentina","Croatia",2015-11-01,NA,"HR"
"Argentina","Hungary",2015-11-01,NA,"HU"
"Argentina","Ireland",2015-11-01,NA,"IE"
"Argentina","Italy",2015-11-01,NA,"IT"
"Argentina","Lithuania",2015-11-01,NA,"LT"
"Argentina","Luxembourg",2015-11-01,NA,"LU"
"Argentina","Latvia",2015-11-01,NA,"LV"
"Argentina","Malta",2015-11-01,NA,"MT"
"Argentina","Netherlands",2015-11-01,NA,"NL"
"Argentina","Norway",2015-11-01,0,"NO"
"Argentina","Poland",2015-11-01,NA,"PL"
"Argentina","Portugal",2015-11-01,NA,"PT"
"Argentina","Romania",2015-11-01,NA,"RO"
"Argentina","Sweden",2015-11-01,NA,"SE"
"Argentina","Slovenia",2015-11-01,NA,"SI"
"Argentina","Slovakia",2015-11-01,NA,"SK"
"Argentina","Total",2015-11-01,0,"TOTAL"
"Argentina","United Kingdom",2015-11-01,NA,"UK"
"Austria","Austria",2015-11-01,NA,"AT"
"Austria","Belgium",2015-11-01,NA,"BE"
"Austria","Bulgaria",2015-11-01,NA,"BG"
"Austria","Switzerland",2015-11-01,NA,"CH"
"Austria","Cyprus",2015-11-01,NA,"CY"
"Austria","Czech Republic",2015-11-01,NA,"CZ"
"Austria","Germany (until 1990 former territory of the FRG)",2015-11-01,NA,"DE"
"Austria","Denmark",2015-11-01,NA,"DK"
"Austria","Estonia",2015-11-01,NA,"EE"
"Austria","Greece",2015-11-01,NA,"EL"
"Austria","Spain",2015-11-01,NA,"ES"
"Austria","European Union (28 countries)",2015-11-01,0,"EU28"
"Austria","Finland",2015-11-01,0,"FI"
"Austria","France",2015-11-01,NA,"FR"
"Austria","Croatia",2015-11-01,NA,"HR"
"Austria","Hungary",2015-11-01,NA,"HU"
"Austria","Ireland",2015-11-01,NA,"IE"
"Austria","Italy",2015-11-01,NA,"IT"
"Austria","Lithuania",2015-11-01,NA,"LT"
"Austria","Luxembourg",2015-11-01,NA,"LU"
"Austria","Latvia",2015-11-01,NA,"LV"
"Austria","Malta",2015-11-01,NA,"MT"
"Austria","Netherlands",2015-11-01,NA,"NL"
"Austria","Norway",2015-11-01,0,"NO"
"Austria","Poland",2015-11-01,NA,"PL"
"Austria","Portugal",2015-11-01,NA,"PT"
"Austria","Romania",2015-11-01,NA,"RO"
"Austria","Sweden",2015-11-01,NA,"SE"
"Austria","Slovenia",2015-11-01,NA,"SI"
"Austria","Slovakia",2015-11-01,NA,"SK"
"Austria","Total",2015-11-01,0,"TOTAL"
"Austria","United Kingdom",2015-11-01,NA,"UK"
"Australia","Austria",2015-11-01,NA,"AT"
"Australia","Belgium",2015-11-01,NA,"BE"
"Australia","Bulgaria",2015-11-01,NA,"BG"
"Australia","Switzerland",2015-11-01,NA,"CH"
"Australia","Cyprus",2015-11-01,NA,"CY"
"Australia","Czech Republic",2015-11-01,NA,"CZ"
"Australia","Germany (until 1990 former territory of the FRG)",2015-11-01,NA,"DE"
"Australia","Denmark",2015-11-01,NA,"DK"
"Australia","Estonia",2015-11-01,NA,"EE"
"Australia","Greece",2015-11-01,NA,"EL"
"Australia","Spain",2015-11-01,NA,"ES"
"Australia","European Union (28 countries)",2015-11-01,0,"EU28"
"Australia","Finland",2015-11-01,0,"FI"
"Australia","France",2015-11-01,NA,"FR"
"Australia","Croatia",2015-11-01,NA,"HR"
"Australia","Hungary",2015-11-01,NA,"HU"
"Australia","Ireland",2015-11-01,NA,"IE"
"Australia","Italy",2015-11-01,NA,"IT"
"Australia","Lithuania",2015-11-01,NA,"LT"
"Australia","Luxembourg",2015-11-01,NA,"LU"
"Australia","Latvia",2015-11-01,NA,"LV"
"Australia","Malta",2015-11-01,NA,"MT"
"Australia","Netherlands",2015-11-01,NA,"NL"
"Australia","Norway",2015-11-01,0,"NO"
"Australia","Poland",2015-11-01,NA,"PL"
"Australia","Portugal",2015-11-01,NA,"PT"
"Australia","Romania",2015-11-01,NA,"RO"
"Australia","Sweden",2015-11-01,NA,"SE"
"Australia","Slovenia",2015-11-01,NA,"SI"
"Australia","Slovakia",2015-11-01,NA,"SK"
"Australia","Total",2015-11-01,0,"TOTAL"
"Australia","United Kingdom",2015-11-01,NA,"UK"
"Azerbaijan","Austria",2015-11-01,NA,"AT"
"Azerbaijan","Belgium",2015-11-01,NA,"BE"
"Azerbaijan","Bulgaria",2015-11-01,NA,"BG"
"Azerbaijan","Switzerland",2015-11-01,NA,"CH"
"Azerbaijan","Cyprus",2015-11-01,NA,"CY"
"Azerbaijan","Czech Republic",2015-11-01,NA,"CZ"
"Azerbaijan","Germany (until 1990 former territory of the FRG)",2015-11-01,NA,"DE"
"Azerbaijan","Denmark",2015-11-01,NA,"DK"
"Azerbaijan","Estonia",2015-11-01,NA,"EE"
"Azerbaijan","Greece",2015-11-01,NA,"EL"
"Azerbaijan","Spain",2015-11-01,NA,"ES"
"Azerbaijan","European Union (28 countries)",2015-11-01,5,"EU28"
"Azerbaijan","Finland",2015-11-01,5,"FI"
"Azerbaijan","France",2015-11-01,NA,"FR"
"Azerbaijan","Croatia",2015-11-01,NA,"HR"
"Azerbaijan","Hungary",2015-11-01,NA,"HU"
"Azerbaijan","Ireland",2015-11-01,NA,"IE"
"Azerbaijan","Italy",2015-11-01,NA,"IT"
"Azerbaijan","Lithuania",2015-11-01,NA,"LT"
"Azerbaijan","Luxembourg",2015-11-01,NA,"LU"
"Azerbaijan","Latvia",2015-11-01,NA,"LV"
"Azerbaijan","Malta",2015-11-01,NA,"MT"
"Azerbaijan","Netherlands",2015-11-01,NA,"NL"
"Azerbaijan","Norway",2015-11-01,0,"NO"
"Azerbaijan","Poland",2015-11-01,NA,"PL"
"Azerbaijan","Portugal",2015-11-01,NA,"PT"
"Azerbaijan","Romania",2015-11-01,NA,"RO"
"Azerbaijan","Sweden",2015-11-01,NA,"SE"
"Azerbaijan","Slovenia",2015-11-01,NA,"SI"
"Azerbaijan","Slovakia",2015-11-01,NA,"SK"
"Azerbaijan","Total",2015-11-01,5,"TOTAL"
"Azerbaijan","United Kingdom",2015-11-01,NA,"UK"
"Bosnia and Herzegovina","Austria",2015-11-01,NA,"AT"
"Bosnia and Herzegovina","Belgium",2015-11-01,NA,"BE"
"Bosnia and Herzegovina","Bulgaria",2015-11-01,NA,"BG"
"Bosnia and Herzegovina","Switzerland",2015-11-01,NA,"CH"
"Bosnia and Herzegovina","Cyprus",2015-11-01,NA,"CY"
"Bosnia and Herzegovina","Czech Republic",2015-11-01,NA,"CZ"
"Bosnia and Herzegovina","Germany (until 1990 former territory of the FRG)",2015-11-01,NA,"DE"
"Bosnia and Herzegovina","Denmark",2015-11-01,NA,"DK"
"Bosnia and Herzegovina","Estonia",2015-11-01,NA,"EE"
"Bosnia and Herzegovina","Greece",2015-11-01,NA,"EL"
"Bosnia and Herzegovina","Spain",2015-11-01,NA,"ES"
"Bosnia and Herzegovina","European Union (28 countries)",2015-11-01,0,"EU28"
"Bosnia and Herzegovina","Finland",2015-11-01,0,"FI"
"Bosnia and Herzegovina","France",2015-11-01,NA,"FR"
"Bosnia and Herzegovina","Croatia",2015-11-01,NA,"HR"
"Bosnia and Herzegovina","Hungary",2015-11-01,NA,"HU"
"Bosnia and Herzegovina","Ireland",2015-11-01,NA,"IE"
"Bosnia and Herzegovina","Italy",2015-11-01,NA,"IT"
"Bosnia and Herzegovina","Lithuania",2015-11-01,NA,"LT"
"Bosnia and Herzegovina","Luxembourg",2015-11-01,NA,"LU"
"Bosnia and Herzegovina","Latvia",2015-11-01,NA,"LV"
"Bosnia and Herzegovina","Malta",2015-11-01,NA,"MT"
"Bosnia and Herzegovina","Netherlands",2015-11-01,NA,"NL"
"Bosnia and Herzegovina","Norway",2015-11-01,0,"NO"
"Bosnia and Herzegovina","Poland",2015-11-01,NA,"PL"
"Bosnia and Herzegovina","Portugal",2015-11-01,NA,"PT"
"Bosnia and Herzegovina","Romania",2015-11-01,NA,"RO"
"Bosnia and Herzegovina","Sweden",2015-11-01,NA,"SE"
"Bosnia and Herzegovina","Slovenia",2015-11-01,NA,"SI"
"Bosnia and Herzegovina","Slovakia",2015-11-01,NA,"SK"
"Bosnia and Herzegovina","Total",2015-11-01,0,"TOTAL"
"Bosnia and Herzegovina","United Kingdom",2015-11-01,NA,"UK"
"Barbados","Austria",2015-11-01,NA,"AT"
"Barbados","Belgium",2015-11-01,NA,"BE"
"Barbados","Bulgaria",2015-11-01,NA,"BG"
"Barbados","Switzerland",2015-11-01,NA,"CH"
"Barbados","Cyprus",2015-11-01,NA,"CY"
"Barbados","Czech Republic",2015-11-01,NA,"CZ"
"Barbados","Germany (until 1990 former territory of the FRG)",2015-11-01,NA,"DE"
"Barbados","Denmark",2015-11-01,NA,"DK"
"Barbados","Estonia",2015-11-01,NA,"EE"
"Barbados","Greece",2015-11-01,NA,"EL"
"Barbados","Spain",2015-11-01,NA,"ES"
"Barbados","European Union (28 countries)",2015-11-01,0,"EU28"
"Barbados","Finland",2015-11-01,0,"FI"
"Barbados","France",2015-11-01,NA,"FR"
"Barbados","Croatia",2015-11-01,NA,"HR"
"Barbados","Hungary",2015-11-01,NA,"HU"
"Barbados","Ireland",2015-11-01,NA,"IE"
"Barbados","Italy",2015-11-01,NA,"IT"
"Barbados","Lithuania",2015-11-01,NA,"LT"
"Barbados","Luxembourg",2015-11-01,NA,"LU"
"Barbados","Latvia",2015-11-01,NA,"LV"
"Barbados","Malta",2015-11-01,NA,"MT"
"Barbados","Netherlands",2015-11-01,NA,"NL"
"Barbados","Norway",2015-11-01,0,"NO"
"Barbados","Poland",2015-11-01,NA,"PL"
"Barbados","Portugal",2015-11-01,NA,"PT"
"Barbados","Romania",2015-11-01,NA,"RO"
"Barbados","Sweden",2015-11-01,NA,"SE"
"Barbados","Slovenia",2015-11-01,NA,"SI"
"Barbados","Slovakia",2015-11-01,NA,"SK"
"Barbados","Total",2015-11-01,0,"TOTAL"
"Barbados","United Kingdom",2015-11-01,NA,"UK"
"Bangladesh","Austria",2015-11-01,NA,"AT"
"Bangladesh","Belgium",2015-11-01,NA,"BE"
"Bangladesh","Bulgaria",2015-11-01,NA,"BG"
"Bangladesh","Switzerland",2015-11-01,NA,"CH"
"Bangladesh","Cyprus",2015-11-01,NA,"CY"
"Bangladesh","Czech Republic",2015-11-01,NA,"CZ"
"Bangladesh","Germany (until 1990 former territory of the FRG)",2015-11-01,NA,"DE"
"Bangladesh","Denmark",2015-11-01,NA,"DK"
"Bangladesh","Estonia",2015-11-01,NA,"EE"
"Bangladesh","Greece",2015-11-01,NA,"EL"
"Bangladesh","Spain",2015-11-01,NA,"ES"
"Bangladesh","European Union (28 countries)",2015-11-01,40,"EU28"
"Bangladesh","Finland",2015-11-01,40,"FI"
"Bangladesh","France",2015-11-01,NA,"FR"
"Bangladesh","Croatia",2015-11-01,NA,"HR"
"Bangladesh","Hungary",2015-11-01,NA,"HU"
"Bangladesh","Ireland",2015-11-01,NA,"IE"
"Bangladesh","Italy",2015-11-01,NA,"IT"
"Bangladesh","Lithuania",2015-11-01,NA,"LT"
"Bangladesh","Luxembourg",2015-11-01,NA,"LU"
"Bangladesh","Latvia",2015-11-01,NA,"LV"
"Bangladesh","Malta",2015-11-01,NA,"MT"
"Bangladesh","Netherlands",2015-11-01,NA,"NL"
"Bangladesh","Norway",2015-11-01,100,"NO"
"Bangladesh","Poland",2015-11-01,NA,"PL"
"Bangladesh","Portugal",2015-11-01,NA,"PT"
"Bangladesh","Romania",2015-11-01,NA,"RO"
"Bangladesh","Sweden",2015-11-01,NA,"SE"
"Bangladesh","Slovenia",2015-11-01,NA,"SI"
"Bangladesh","Slovakia",2015-11-01,NA,"SK"
"Bangladesh","Total",2015-11-01,135,"TOTAL"
"Bangladesh","United Kingdom",2015-11-01,NA,"UK"
"Belgium","Austria",2015-11-01,NA,"AT"
"Belgium","Belgium",2015-11-01,NA,"BE"
"Belgium","Bulgaria",2015-11-01,NA,"BG"
"Belgium","Switzerland",2015-11-01,NA,"CH"
"Belgium","Cyprus",2015-11-01,NA,"CY"
"Belgium","Czech Republic",2015-11-01,NA,"CZ"
"Belgium","Germany (until 1990 former territory of the FRG)",2015-11-01,NA,"DE"
"Belgium","Denmark",2015-11-01,NA,"DK"
"Belgium","Estonia",2015-11-01,NA,"EE"
"Belgium","Greece",2015-11-01,NA,"EL"
"Belgium","Spain",2015-11-01,NA,"ES"
"Belgium","European Union (28 countries)",2015-11-01,0,"EU28"
"Belgium","Finland",2015-11-01,0,"FI"
"Belgium","France",2015-11-01,NA,"FR"
"Belgium","Croatia",2015-11-01,NA,"HR"
"Belgium","Hungary",2015-11-01,NA,"HU"
"Belgium","Ireland",2015-11-01,NA,"IE"
"Belgium","Italy",2015-11-01,NA,"IT"
"Belgium","Lithuania",2015-11-01,NA,"LT"
"Belgium","Luxembourg",2015-11-01,NA,"LU"
"Belgium","Latvia",2015-11-01,NA,"LV"
"Belgium","Malta",2015-11-01,NA,"MT"
"Belgium","Netherlands",2015-11-01,NA,"NL"
"Belgium","Norway",2015-11-01,0,"NO"
"Belgium","Poland",2015-11-01,NA,"PL"
"Belgium","Portugal",2015-11-01,NA,"PT"
"Belgium","Romania",2015-11-01,NA,"RO"
"Belgium","Sweden",2015-11-01,NA,"SE"
"Belgium","Slovenia",2015-11-01,NA,"SI"
"Belgium","Slovakia",2015-11-01,NA,"SK"
"Belgium","Total",2015-11-01,0,"TOTAL"
"Belgium","United Kingdom",2015-11-01,NA,"UK"
"Burkina Faso","Austria",2015-11-01,NA,"AT"
"Burkina Faso","Belgium",2015-11-01,NA,"BE"
"Burkina Faso","Bulgaria",2015-11-01,NA,"BG"
"Burkina Faso","Switzerland",2015-11-01,NA,"CH"
"Burkina Faso","Cyprus",2015-11-01,NA,"CY"
"Burkina Faso","Czech Republic",2015-11-01,NA,"CZ"
"Burkina Faso","Germany (until 1990 former territory of the FRG)",2015-11-01,NA,"DE"
"Burkina Faso","Denmark",2015-11-01,NA,"DK"
"Burkina Faso","Estonia",2015-11-01,NA,"EE"
"Burkina Faso","Greece",2015-11-01,NA,"EL"
"Burkina Faso","Spain",2015-11-01,NA,"ES"
"Burkina Faso","European Union (28 countries)",2015-11-01,0,"EU28"
"Burkina Faso","Finland",2015-11-01,0,"FI"
"Burkina Faso","France",2015-11-01,NA,"FR"
"Burkina Faso","Croatia",2015-11-01,NA,"HR"
"Burkina Faso","Hungary",2015-11-01,NA,"HU"
